indicador_fato_id,tempo_id,empresa_id,indicador_id,valor
1,20241231,1,1,6.42
2,20241231,1,2,6.67
3,20241231,1,3,37.2
4,20241231,1,4,0.241
5,20241231,1,5,221439918000.0
